Year,Series,øki,kyn,aldur,Units,Value
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,2.8
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,1.8
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,0.0
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,0.0
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,2.3
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,0.8
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,1.6
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,0.7
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,0.7
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,1.4
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,0.7
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4.2
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,3.3
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4.4
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,5.1
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4.3
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,3.8
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,3.0
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,3.2
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,3.4
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,2.4
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,2.1
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,1.8
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,2.3
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,2.4
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,1.8
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,2.5
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,6.6
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,3.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,6.6
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,8.2
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,7.0
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,6.3
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4.3
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4.2
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4.9
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,3.0
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,2.7
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,2.3
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,3.6
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4.0
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,2.5
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,3.2
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,3.4
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,2.7
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,6.1
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,6.2
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4.8
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,3.0
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,1.8
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,3.5
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,3.5
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,1.0
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,0.3
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,2.3
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,1.0
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,1.3
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,1.6
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,1.3
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,2.8
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,2.6
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,3.8
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4.5
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,3.8
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,3.3
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,3.2
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,3.1
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,2.6
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,2.1
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,2.4
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,1.5
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,2.5
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,2.5
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,1.8
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,2.8
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,3.8
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4.2
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,2.0
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,2.9
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,3.2
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,3.1
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,2.3
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,3.7
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,3.2
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,2.9
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,2.4
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,2.4
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,2.3
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,2.0
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,1.8
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,1.9
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4.4
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4.2
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,3.2
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,2.7
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,1.6
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,1.9
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,1.9
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,1.4
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,2.7
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,2.2
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,0.9
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,1.1
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,0.6
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,0.9
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,0.7
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,1.7
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4.8
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,3.4
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4.7
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,5.2
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4.7
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4.2
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,3.1
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,3.4
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,3.5
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,2.6
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,2.1
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,2.1
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,2.5
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,2.4
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,2.2
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,2.5
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,7.9
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,3.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,6.0
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,7.7
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,7.5
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,6.8
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,5.1
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4.7
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4.8
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,3.0
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,2.2
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,3.2
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,3.8
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,3.5
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,3.7
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,3.1
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,6.1
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,4.7
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,9.2
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,7.0
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,6.0
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,5.0
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,2.8
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,3.6
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,4.3
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,0.7
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,0.7
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,3.5
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,1.4
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,1.3
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,2.0
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,2.0
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,3.3
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,2.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,4.6
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,5.7
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,5.1
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,4.5
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,3.8
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,4.1
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,3.3
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,2.8
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,2.7
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,1.5
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,2.5
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,2.8
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,2.0
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 25 - 54,%,3.0
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,2.5
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,2.6
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,0.8
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,1.2
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,1.2
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,1.6
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,0.8
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,1.6
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,1.9
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,2.3
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,1.9
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,1.8
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,2.2
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,1.9
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,1.8
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 55 - 66,%,1.9
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,4.1
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,4.0
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,3.5
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,2.5
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,1.7
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,1.7
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,1.0
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,1.3
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,3.0
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,2.5
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,1.6
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,1.2
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,0.9
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,0.9
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,0.9
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 67 + ,%,1.4
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Menn,,%,3.7
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Menn,,%,3.3
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Menn,,%,4.2
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Menn,,%,5.0
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Menn,,%,3.8
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Menn,,%,3.4
