Year,Series,øki,kyn,aldur,Units,Value
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,3.8
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,3.6
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,3.5
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,3.4
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,3.0
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,3.0
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,3.0
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,2.6
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,2.9
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,2.8
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,2.6
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,3.1
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,3.0
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,2.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,2.8
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,3.1
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,2.6
