Year,avleiðing,Units,Series,kyn,Value
2016,Deyðilig,Í tali,Persónar,,2.0
2016,Deyðilig,Í tali,Persónar,Menn,2.0
2016,Deyðilig,Í tali,Persónar,Kvinnur,0.0
2016,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,6.99863526612311
2016,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,12.993762993763
2016,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,0.0
2017,Deyðilig,Í tali,Persónar,,0.0
2017,Deyðilig,Í tali,Persónar,Menn,0.0
2017,Deyðilig,Í tali,Persónar,Kvinnur,0.0
2017,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,0.0
2017,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,0.0
2017,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,0.0
2018,Deyðilig,Í tali,Persónar,,1.0
2018,Deyðilig,Í tali,Persónar,Menn,1.0
2018,Deyðilig,Í tali,Persónar,Kvinnur,0.0
2018,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,3.28180893308392
2018,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,6.07017117882724
2018,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,0.0
2019,Deyðilig,Í tali,Persónar,,1.0
2019,Deyðilig,Í tali,Persónar,Menn,0.0
2019,Deyðilig,Í tali,Persónar,Kvinnur,1.0
2019,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,3.2044092671516
2019,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,0.0
2019,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,6.9357747260369
2020,Deyðilig,Í tali,Persónar,,3.0
2020,Deyðilig,Í tali,Persónar,Menn,3.0
2020,Deyðilig,Í tali,Persónar,Kvinnur,0.0
2020,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,9.60338038989724
2020,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,17.8337890857211
2020,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,0.0
2021,Deyðilig,Í tali,Persónar,,0.0
2021,Deyðilig,Í tali,Persónar,Menn,0.0
2021,Deyðilig,Í tali,Persónar,Kvinnur,0.0
2021,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,0.0
2021,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,0.0
2021,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,0.0
