Year,Series,region,sex,age,Units,GeoCode,Value
2020,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,2.6
2021,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,2.9
2022,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,2.8
2023,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,2.6
2024,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,3.1
2009,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,3.0
2010,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,2.8
2011,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,2.8
2012,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,3.1
2013,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,2.6
2014,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,2.7
2015,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,2.1
2016,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,2.4
2017,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,2.3
2018,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,2.1
2019,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,1.9
2020,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,1.7
2021,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,1.6
2022,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,1.5
2023,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,1.7
2024,Proportion of population living below the national poverty line,,Females,Age 55 - 66,pct.,TOTAL,1.7
2009,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,3.0
2010,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,2.6
2011,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,3.0
2012,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,2.2
