Year,Series,diseases,sex,Units,Value
2014,SH_DTH_NCOM,E10-E14,M,NO,0.0
2015,SH_DTH_NCOM,E10-E14,M,NO,0.0
2016,SH_DTH_NCOM,E10-E14,M,NO,23.3972859148339
2017,SH_DTH_NCOM,E10-E14,M,NO,0.0
2018,SH_DTH_NCOM,E10-E14,M,NO,0.0
2019,SH_DTH_NCOM,E10-E14,M,NO,0.0
2020,SH_DTH_NCOM,E10-E14,M,NO,0.0
2021,SH_DTH_NCOM,E10-E14,M,NO,0.0
2009,SH_DTH_NCOM,E10-E14,F,NO,44.1131060037937
2010,SH_DTH_NCOM,E10-E14,F,NO,8.7684685869613
2011,SH_DTH_NCOM,E10-E14,F,NO,17.4299533748747
2012,SH_DTH_NCOM,E10-E14,F,NO,0.0
2013,SH_DTH_NCOM,E10-E14,F,NO,0.0
2014,SH_DTH_NCOM,E10-E14,F,NO,0.0
2015,SH_DTH_NCOM,E10-E14,F,NO,0.0
2016,SH_DTH_NCOM,E10-E14,F,NO,8.5324232081911
2017,SH_DTH_NCOM,E10-E14,F,NO,0.0
2018,SH_DTH_NCOM,E10-E14,F,NO,0.0
2019,SH_DTH_NCOM,E10-E14,F,NO,0.0
2020,SH_DTH_NCOM,E10-E14,F,NO,0.0
2021,SH_DTH_NCOM,E10-E14,F,NO,0.0
2009,SH_DTH_NCOM,J30-J98,,NO,29.064335983724
2010,SH_DTH_NCOM,J30-J98,,NO,4.1353927589273
2011,SH_DTH_NCOM,J30-J98,,NO,8.2523570794908
2012,SH_DTH_NCOM,J30-J98,,NO,8.2509952763052
2013,SH_DTH_NCOM,J30-J98,,NO,24.7851949768672
2014,SH_DTH_NCOM,J30-J98,,NO,28.9071049534389
2015,SH_DTH_NCOM,J30-J98,,NO,28.7574718074071
2016,SH_DTH_NCOM,J30-J98,,NO,8.1492950859751
2017,SH_DTH_NCOM,J30-J98,,NO,16.1378169568112
2018,SH_DTH_NCOM,J30-J98,,NO,23.8986696407233
2019,SH_DTH_NCOM,J30-J98,,NO,11.754334410814
2020,SH_DTH_NCOM,J30-J98,,NO,15.4344806297268
2021,SH_DTH_NCOM,J30-J98,,NO,15.3338955761711
2009,SH_DTH_NCOM,J30-J98,M,NO,23.5294117647059
2010,SH_DTH_NCOM,J30-J98,M,NO,0.0
2011,SH_DTH_NCOM,J30-J98,M,NO,7.8363764595251
2012,SH_DTH_NCOM,J30-J98,M,NO,15.7430730478589
2013,SH_DTH_NCOM,J30-J98,M,NO,7.9042010828756
2014,SH_DTH_NCOM,J30-J98,M,NO,39.4710874284587
2015,SH_DTH_NCOM,J30-J98,M,NO,31.3885510260133
2016,SH_DTH_NCOM,J30-J98,M,NO,7.7990953049446
2017,SH_DTH_NCOM,J30-J98,M,NO,15.4673059819806
